"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee"
"97","E0",2013-11-02,"West Brom","Crystal Palace",2,0,"H",1,0,"H","N Swarbrick"
"98","E0",2013-11-02,"West Ham","Aston Villa",0,0,"D",0,0,"D","H Webb"
"99","E0",2013-11-03,"Cardiff","Swansea",1,0,"H",0,0,"D","M Dean"
"100","E0",2013-11-03,"Everton","Tottenham",0,0,"D",0,0,"D","K Friend"
"101","E0",2013-11-09,"Aston Villa","Cardiff",2,0,"H",0,0,"D","M Atkinson"
"102","E0",2013-11-09,"Chelsea","West Brom",2,2,"D",1,0,"H","L Probert"
"103","E0",2013-11-09,"Crystal Palace","Everton",0,0,"D",0,0,"D","C Pawson"
"104","E0",2013-11-09,"Liverpool","Fulham",4,0,"H",3,0,"H","M Jones"
"105","E0",2013-11-09,"Norwich","West Ham",3,1,"H",0,1,"A","J Moss"
"106","E0",2013-11-09,"Southampton","Hull",4,1,"H",3,0,"H","H Webb"
"107","E0",2013-11-10,"Man United","Arsenal",1,0,"H",1,0,"H","M Oliver"
"108","E0",2013-11-10,"Sunderland","Man City",1,0,"H",1,0,"H","M Dean"
"109","E0",2013-11-10,"Swansea","Stoke",3,3,"D",0,2,"A","R Madley"
"110","E0",2013-11-10,"Tottenham","Newcastle",0,1,"A",0,1,"A","C Foy"
"111","E0",2013-11-23,"Arsenal","Southampton",2,0,"H",1,0,"H","M Clattenburg"
"112","E0",2013-11-23,"Everton","Liverpool",3,3,"D",1,2,"A","P Dowd"
"113","E0",2013-11-23,"Fulham","Swansea",1,2,"A",0,0,"D","A Marriner"
"114","E0",2013-11-23,"Hull","Crystal Palace",0,1,"A",0,0,"D","A Taylor"
"115","E0",2013-11-23,"Newcastle","Norwich",2,1,"H",2,0,"H","M Dean"
"116","E0",2013-11-23,"Stoke","Sunderland",2,0,"H",1,0,"H","K Friend"
"117","E0",2013-11-23,"West Ham","Chelsea",0,3,"A",0,2,"A","C Foy"
"118","E0",2013-11-24,"Cardiff","Man United",2,2,"D",1,2,"A","N Swarbrick"
"119","E0",2013-11-24,"Man City","Tottenham",6,0,"H",3,0,"H","M Atkinson"
"120","E0",2013-11-25,"West Brom","Aston Villa",2,2,"D",2,0,"H","M Oliver"
"121","E0",2013-11-30,"Aston Villa","Sunderland",0,0,"D",0,0,"D","N Swarbrick"
"122","E0",2013-11-30,"Cardiff","Arsenal",0,3,"A",0,1,"A","L Mason"
"123","E0",2013-11-30,"Everton","Stoke",4,0,"H",1,0,"H","M Jones"
"124","E0",2013-11-30,"Newcastle","West Brom",2,1,"H",1,0,"H","P Dowd"
"125","E0",2013-11-30,"Norwich","Crystal Palace",1,0,"H",1,0,"H","C Foy"
"126","E0",2013-11-30,"West Ham","Fulham",3,0,"H",0,0,"D","M Atkinson"
"127","E0",2013-12-01,"Chelsea","Southampton",3,1,"H",0,1,"A","M Oliver"
"128","E0",2013-12-01,"Hull","Liverpool",3,1,"H",1,1,"D","H Webb"
